                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 0.5188,                0.60127,                0.99345,                0.98446,                0.97403,                0.98909,                0.94441,                0.32445,                0.26391,                0.84054,               0.003532,               0.003532,               0.003532
                    100,                0.54328,                0.62622,                 1.0061,                0.98363,                0.96874,                 0.9877,                0.94265,                0.31703,                0.27274,                0.83859,               0.003466,               0.003466,               0.003466
                    101,                0.53283,                0.62056,                 1.0096,                0.97476,                0.94436,                0.98792,                0.92989,                0.34144,                0.30051,                0.84589,                 0.0034,                 0.0034,                 0.0034
                    102,                0.52584,                0.58411,                0.99996,                0.97041,                0.96251,                0.99103,                0.93685,                0.33514,                0.28007,                 0.8468,               0.003334,               0.003334,               0.003334
                    103,                0.53229,                 0.6139,                 1.0082,                0.97135,                0.96808,                0.98903,                0.94346,                0.33254,                0.26698,                0.83979,               0.003268,               0.003268,               0.003268
                    104,                0.53004,                0.61459,                 1.0134,                0.95825,                0.96872,                0.98813,                0.93915,                0.33058,                0.27956,                0.84247,               0.003202,               0.003202,               0.003202
                    105,                0.51633,                0.59202,                  1.008,                0.97236,                0.96106,                0.98817,                0.94298,                 0.3248,                0.27214,                0.84026,               0.003136,               0.003136,               0.003136
                    106,                0.53213,                0.61285,                 1.0076,                0.97264,                   0.96,                0.98663,                0.93617,                0.34271,                0.28276,                0.84741,                0.00307,                0.00307,                0.00307
                    107,                0.51823,                0.60313,                0.99834,                0.96748,                0.95225,                 0.9822,                0.93947,                0.32811,                0.31281,                0.83875,               0.003004,               0.003004,               0.003004
                    108,                0.51113,                0.60465,                 1.0044,                0.97929,                 0.9635,                0.98602,                0.94261,                0.32674,                0.26694,                0.84147,               0.002938,               0.002938,               0.002938
                    109,                0.53649,                0.61405,                 1.0117,                0.98111,                0.96381,                0.98449,                0.93996,                 0.3211,                0.26066,                0.83782,               0.002872,               0.002872,               0.002872
                    110,                0.51956,                 0.5777,                0.99351,                0.97707,                0.95812,                0.98463,                0.94947,                0.31346,                0.27634,                0.84131,               0.002806,               0.002806,               0.002806
                    111,                 0.4957,                0.55734,                0.98878,                 0.9745,                0.96867,                0.98639,                0.94006,                0.33052,                0.27366,                0.84221,                0.00274,                0.00274,                0.00274
                    112,                0.50555,                  0.568,                 1.0015,                0.96984,                0.96425,                0.98631,                0.94573,                0.32275,                0.26989,                0.83867,               0.002674,               0.002674,               0.002674
                    113,                 0.5151,                0.58792,                 1.0042,                0.95861,                 0.9592,                0.98611,                0.95107,                0.31721,                0.29585,                0.83487,               0.002608,               0.002608,               0.002608
                    114,                0.51969,                0.59197,                 1.0012,                0.97565,                0.95341,                0.98893,                0.95206,                0.31271,                 0.2642,                0.83521,               0.002542,               0.002542,               0.002542
                    115,                 0.4971,                 0.5496,                0.98721,                0.95769,                0.95186,                0.98621,                0.94536,                0.31527,                0.29409,                0.83613,               0.002476,               0.002476,               0.002476
                    116,                0.49597,                0.55812,                0.98775,                0.95653,                0.95303,                0.98846,                0.94959,                0.32402,                0.27474,                0.84207,                0.00241,                0.00241,                0.00241
                    117,                0.51179,                0.59006,                0.99765,                0.97116,                 0.9515,                0.98635,                0.95173,                0.30865,                0.27083,                0.83532,               0.002344,               0.002344,               0.002344
                    118,                0.50793,                0.56943,                0.99434,                0.97266,                0.96423,                0.98323,                0.93658,                0.31558,                0.27577,                0.83556,               0.002278,               0.002278,               0.002278
                    119,                0.49418,                0.55226,                0.99011,                0.97007,                0.96176,                0.98253,                0.93895,                0.31439,                0.28324,                0.83389,               0.002212,               0.002212,               0.002212
                    120,                0.50691,                0.57383,                0.99356,                0.97661,                 0.9602,                0.98303,                0.94139,                0.31355,                0.27289,                0.83451,               0.002146,               0.002146,               0.002146
                    121,                0.49258,                 0.5412,                0.99668,                0.98276,                0.96895,                0.98688,                 0.9469,                 0.3116,                0.25745,                0.83507,                0.00208,                0.00208,                0.00208
                    122,                0.49544,                0.56745,                0.99645,                0.98172,                0.96717,                0.98607,                0.93961,                0.32148,                0.25757,                0.83971,               0.002014,               0.002014,               0.002014
                    123,                0.51426,                0.56104,                0.99133,                0.97522,                0.96376,                0.98911,                0.94198,                0.31367,                0.26652,                0.83623,               0.001948,               0.001948,               0.001948
                    124,                0.50722,                 0.5499,                0.99753,                0.97713,                 0.9713,                0.98519,                0.94063,                0.32707,                0.25664,                0.83941,               0.001882,               0.001882,               0.001882
                    125,                0.49217,                 0.5448,                0.99049,                0.97639,                0.97008,                0.98312,                0.94087,                0.32303,                0.25635,                0.83899,               0.001816,               0.001816,               0.001816
                    126,                0.51208,                 0.5489,                0.99179,                0.96631,                0.97325,                0.98567,                0.93876,                0.33137,                0.26328,                0.83992,                0.00175,                0.00175,                0.00175
